field,prob
bank,0.15
propertyname,0.05
inputconfirmpassword,0.95
field cvv,0.95
member,0.10
panbin,0.60
fieldbankacc[routingnum],0.85
security_code_field,0.90
field-routing-acc-num,0.85
inputbankacc[routingnum],0.85
deviceid,0.15
fieldaccesstoken,0.90
inputcard[num],0.90
input-issuer-certificate,0.75
access-token-input,0.90
field-credit-card-num,0.95
device-id,0.15
account-bank-number,0.85
field-2fa,0.90
insurer,0.15
totptokeninput,0.90
security-token-field,0.90
security code input,0.90
year,0.00
creditcardnumberfield,0.95
pin_code,0.85
issuer-certificate-field,0.75
cardcvvfield,0.95
secret_field,0.90
password confirm input,0.95
routing-account-number-input,0.85
new_password_field,0.95
netpayamount,0.40
input 2fa token,0.90
last name,0.65
field-card[cvv],0.95
last_four_ssn,0.90
field-cert,0.70
routing_acc_num,0.85
field bank acc[routing num],0.85
password-input,0.95
input-certificate,0.75
field access token,0.90
field_cert,0.70
primary,0.05
csrf,0.30
input-card-number,0.90
fieldtoken,0.80
issuer_certificate_field,0.75
x-client-data,0.20
zip_code,0.10
private-key-input,0.95
pincode,0.85
payfriendid,0.10
accountroutingnumberfield,0.85
inputbankaccnumber,0.85
inputaccountnumber,0.70
certificate input,0.75
referrers avatar url,0.15
field_confirm_passwd,0.95
acc-number-field,0.70
card[cvv] input,0.95
sender_state_code,0.15
input api token,0.90
card[number],0.85
inputtotp,0.90
field_two_factor_token,0.90
account-number,0.70
mobile-phone,0.70
gross_pay_amount,0.50
two-factor-code-field,0.90
senderid,0.15
input-bank-account[routing-number],0.85
field social security num,0.95
merchant-name,0.10
2facode,0.90
securitytokeninput,0.90
card_num_field,0.90
accountnumberinput,0.70
bank_acc_input,0.70
otp_field,0.90
field-new-password,0.95
fieldapitoken,0.90
referrers_first_name,0.70
last_4,0.45
referral,0.10
input-api-key,0.95
input-new-password,0.95
store,0.00
routing acc number,0.85
input-bank-account,0.75
field-totp,0.90
credentials_input,0.90
bank account num input,0.85
2fa token input,0.90
card number input,0.90
agentemail,0.50
input_csrf,0.30
credit_card_input,0.90
input-salt,0.85
gross,0.10
mysql-pwd-input,0.95
receiveripaddress,0.55
otpcodeinput,0.90
input_otp_pin,0.90
field_account_bank_number,0.85
input otp code,0.90
creditcardinput,0.90
field_security_pin,0.90
date-ofbirth,0.85
fieldbankaccountnum,0.85
ccnum,0.95
bank-account-field,0.75
passwd_confirm,0.95
otp-pin,0.90
otptokenfield,0.90
credit-card-number-input,0.95
fcparams,0.05
fieldsecuritypin,0.90
segment-device-id,0.10
cc num,0.95
bank_account_input,0.75
field cc num,0.95
inputccnum,0.95
2fa-token-input,0.90
fieldcreditcard,0.90
pay-friend-id,0.10
authentication token,0.85
field-2fa-code,0.90
postal code,0.10
passwd-confirm,0.95
referrers_last_name,0.70
email_domain,0.15
apitranskey,0.85
access token field,0.90
input raw,0.00
routing-acc-num,0.85
employer_name,0.20
routing-acc-input,0.85
field totp,0.90
twofactorpininput,0.90
check_amount,0.20
two_factor_token,0.90
memberquestion,0.20
card[number] input,0.90
card[number]input,0.90
password2field,0.95
first_name,0.70
fieldcreditcardnum,0.95
account_routing_number_input,0.85
fieldcvv,0.95
bankacc[routingnumber]input,0.85
fieldpassword2,0.95
confirm_password,0.90
field mysql pwd,0.95
bank_acc[routing_num],0.85
referrers,0.15
field-social-security-num,0.95
otpinput,0.90
card[num]-input,0.90
stripetokeninput,0.90
passwd_confirm_field,0.95
fieldpasswdconfirm,0.95
routing_acc_num_input,0.85
routing acc field,0.85
field_totp,0.90
house-number,0.10
field-credit-card-number,0.95
source,0.05
response-json,0.00
template,0.00
creds input,0.90
property-name,0.05
2fa field,0.90
primary_phone,0.70
input-totp-code,0.90
funding_source_id,0.15
old-password-field,0.95
stripetokenfield,0.90
fieldsalt,0.85
rule-format,0.00
otp_code,0.90
clientsecret,0.95
securitypininput,0.90
response_array,0.00
field_routing_number,0.85
two-factor-pin-input,0.90
input_confirm_passwd,0.95
zip,0.05
api-key-field,0.95
inputpwd,0.95
fieldissuercertificate,0.75
account_number_input,0.70
bank account[routing number] input,0.85
accountnumberfield,0.70
primary phone,0.70
inputsocialsecuritynumber,0.95
inputccnumber,0.95
acc,0.20
repeat_password_input,0.90
routing_acc_field,0.85
certificate field,0.70
created,0.00
totp pin field,0.90
totp token,0.90
totp,0.85
input-password-confirm,0.95
socialsecuritynumberfield,0.95
account-routing-number-field,0.85
totp-token,0.90
user ip address,0.55
countrycode,0.10
compensation-amount,0.35
2fa code field,0.90
state,0.05
pwd field,0.95
input_2fa,0.90
field_repeat_password,0.90
_key,0.25
input_security_pin,0.90
creditcardnumfield,0.95
given_name,0.65
two factor pin,0.90
bank_account_num_input,0.85
confirm password field,0.90
issuercertificate,0.75
raw_input,0.00
card cvv,0.95
country_code,0.10
field issuer certificate,0.75
email_address,0.75
security_token_field,0.90
2facodefield,0.90
otp_token,0.90
authenticationtoken,0.85
input bank acc number,0.85
twofactortokenfield,0.90
secret field,0.90
2fa-code-input,0.90
fieldbankaccnumber,0.85
field2fapin,0.90
inputotptoken,0.90
bank-acc[routing-num]-input,0.85
employer,0.15
input_totp_code,0.90
field_social_security_number,0.95
inputbankacc,0.70
raw-webhook-response,0.15
field routing number,0.85
security code,0.90
field ssn,0.95
authentication-token,0.85
secret-field,0.90
field-raw,0.00
inputaccesstoken,0.90
2fa-code,0.90
field-api-key,0.95
card-number-last-four,0.85
cvv_field,0.95
bank_acc_number_field,0.80
totp_pin_field,0.90
card[num]input,0.90
tax id,0.80
field-account-bank-number,0.85
field-two-factor-pin,0.90
input_card_number,0.90
field-bank-acc[routing-num],0.85
security-code-input,0.90
auth_token_field,0.90
sender,0.15
givenname,0.65
input_private_key,0.95
member-question-redacted,0.40
routing number,0.85
password1field,0.95
input-confirm-passwd,0.95
stated-income,0.50
receiver-ip-address,0.55
net-pay-amount,0.40
number,0.05
field-totp-pin,0.90
api token,0.85
fieldsecuritycode,0.90
api token input,0.90
card[cvv],0.90
field old password,0.95
user-token,0.80
repeat_password,0.85
inputpasswordconfirm,0.95
bank account input,0.75
field-salt,0.85
otp_code_field,0.90
tax,0.20
gender,0.50
bankaccnumfield,0.80
bank_account_num_field,0.85
inputpassword,0.95
input pwd,0.95
repeat password,0.85
input_routing_number,0.85
security_code_input,0.90
api_token_input,0.90
auth token,0.90
field csrf,0.30
input_raw,0.00
passwd_field,0.95
input-routing-number,0.85
card_cvv_field,0.95
field-stripe-token,0.90
input card cvv,0.95
input_issuer_certificate,0.75
fullname,0.75
securitypin,0.90
credit-card,0.90
receiver-device-contact-name,0.30
credentials_field,0.90
input new password,0.95
createddate,0.00
totp code field,0.90
date,0.00
routing_account_number_field,0.85
house_details,0.10
first-name,0.70
property version,0.00
account,0.15
confirm_password_field,0.90
input-two-factor-pin,0.90
encrypted password,0.95
field-2fa-token,0.90
pin_field,0.85
fieldpin,0.85
_csrf_input,0.30
input old password,0.95
_csrf_token,0.30
field-issuer-certificate,0.75
net_pay_amount,0.40
input issuer certificate,0.75
api-key-input,0.95
memo,0.05
field-bank-acc,0.70
field_account_number,0.70
senderipaddress,0.60
fieldotp,0.90
email-address,0.75
field_api_token,0.90
grosspayamount,0.50
credit card num input,0.95
routing-number-field,0.85
bank-acc-num-input,0.85
acc number input,0.70
card-number,0.90
referral-token,0.40
input_account_bank_number,0.85
access_token_field,0.90
inputstripetoken,0.90
card number last 4,0.85
input_old_password,0.95
last-4,0.45
-csrf-field,0.30
otp_token_field,0.90
apitoken,0.85
field bank acc,0.70
field cc number,0.95
old password field,0.95
field card num,0.90
field-account-routing-number,0.85
password field,0.95
new password input,0.95
input security code,0.90
field bank acc num,0.85
receiver_zip_code,0.40
field credit card number,0.95
field-security-pin,0.90
field_bank_account[routing_number],0.85
two_factor_token_input,0.90
card expiration,0.50
two-factor-token-input,0.90
referrer token,0.45
input access token,0.90
card_number_last4,0.85
income,0.30
two,0.00
2fa token,0.90
totp_field,0.90
receiveridentifier,0.30
tokeninput,0.80
given-name,0.65
feature,0.00
ccnumfield,0.95
sender_zip_code,0.40
credit card input,0.90
input-token,0.80
inputcsrf,0.30
card[num] input,0.90
referralurl,0.10
credit-card-num-input,0.95
cc number,0.95
2fafield,0.90
passwd,0.95
pwd,0.90
auth_token,0.90
cvv-number,0.95
confirm-passwd-field,0.95
propertyid,0.05
fieldpassword,0.95
confirm-password-input,0.90
field_2fa_pin,0.90
matches ssn digest,0.90
input-credentials,0.90
cardnumberinput,0.90
input totp pin,0.90
input-passwd,0.95
card[cvv]_field,0.95
cardcvvinput,0.95
field-cc-num,0.95
bank acc num input,0.85
input card number,0.90
bankaccountnuminput,0.85
date-of-birth,0.85
last_name,0.65
fieldpasswordconfirm,0.95
card number last four,0.85
account-bank-number-field,0.85
passwd-confirm-input,0.95
totppininput,0.90
creds,0.85
inputbankaccnum,0.85
totp_pin_input,0.90
accesstokeninput,0.90
input-account-routing-number,0.85
inputssn,0.95
panlast4,0.70
member-name,0.30
property id,0.05
repeat password input,0.90
field_credit_card,0.90
routing_acc_num_field,0.85
ssninput,0.95
input_token,0.80
totp-code-field,0.90
field 2fa code,0.90
inputcertificate,0.75
repeatpasswordinput,0.90
fieldsecuritytoken,0.90
feature-store,0.05
two-factor-pin-field,0.90
otp token,0.90
referrer_token,0.45
otp-field,0.90
card num field,0.90
postal-code,0.10
field_card[num],0.90
field raw,0.00
input-password,0.95
cvv-field,0.95
routing acc num field,0.85
lastname,0.65
mysql_pwd,0.95
stripe token input,0.90
oldpasswordfield,0.95
address,0.80
fname,0.65
passwdconfirm,0.95
bank-acc[routing-number]-input,0.85
input api key,0.95
credit card number,0.95
checkamount,0.20
input-cc-number,0.95
pan last 4,0.70
keyfield,0.60
socialsecuritynumber,0.95
bank-account-number-field,0.90
input-bank-acc,0.70
card[number]field,0.90
expiry-date,0.15
routing_account_number,0.85
input_auth_token,0.90
token_field,0.80
mobilephone,0.70
confirm passwd,0.90
input-routing-acc-number,0.85
last four,0.50
contract-id,0.10
input_certificate,0.75
expiry date,0.15
cvv field,0.95
field-otp-pin,0.90
field password,0.95
social-security-num-field,0.95
2fa,0.85
field-routing-account-number,0.85
security pin field,0.90
input_password2,0.95
card[cvv]field,0.95
inputnewpassword,0.95
input private key,0.95
raw webhook response,0.15
pwdfield,0.95
referral_url,0.10
zipcode,0.10
fieldaccnumber,0.70
input-credit-card-num,0.95
cvvnumber,0.95
otppininput,0.90
rule,0.00
field-routing-acc,0.85
raw,0.00
old_password_input,0.95
card-number-last4,0.85
matches-ssn-digest,0.90
card[num] field,0.90
2fa_code_input,0.90
pin input,0.85
pinfield,0.85
input routing acc num,0.85
card-number-input,0.90
input otp,0.90
cvvinput,0.95
routingaccountnumber,0.85
referrersfirstname,0.70
field_security_token,0.90
body,0.00
cert field,0.70
field_new_password,0.95
confirmpasswordfield,0.90
field api token,0.90
field bank account,0.75
receiver-address,0.70
card-num-field,0.90
input_password1,0.95
input acc number,0.70
password input,0.95
input-confirm-password,0.95
card[number]-input,0.90
property,0.00
salt input,0.85
two factor pin input,0.90
fieldcredentials,0.90
input-card[number],0.90
inputsecuritypin,0.90
totp_token,0.90
issuer certificate field,0.75
sender state code,0.15
2fa code,0.90
input_cc_number,0.95
securitypinfield,0.90
compensation amount,0.35
2fatokenfield,0.90
api key,0.95
field password2,0.95
user ip,0.55
fieldcsrf,0.30
field_api_key,0.95
card[cvv]_input,0.95
card_num,0.85
accnumber,0.65
securitycode,0.90
account_bank_number,0.85
old_password_field,0.95
sender zip code,0.40
two-factor-token-field,0.90
passwd_confirm_input,0.95
field_bank_acc_num,0.85
input__csrf,0.30
contract_id,0.10
field_routing_acc_number,0.85
routingaccnumfield,0.85
two_factor_token_field,0.90
card[cvv]-input,0.95
bank-account[routing-number]-field,0.85
ip,0.25
encrypted_password,0.95
routing account number field,0.85
clientid,0.15
usertoken,0.80
receiver ip address,0.55
sender-ip-address,0.60
input csrf,0.30
cvv_input,0.95
cc num field,0.95
input_new_password,0.95
raw-field,0.00
routing-account-number-field,0.85
bank-acc[routing-num],0.85
funding,0.05
account-id,0.10
two factor token field,0.90
field_2fa_token,0.90
fieldraw,0.00
securitytokenfield,0.90
password2 field,0.95
2fa pin,0.90
client-id,0.15
fieldtwofactorpin,0.90
cc-number-field,0.95
salt-input,0.85
field security code,0.90
totp code input,0.90
social,0.20
bank acc num,0.80
routing-acc-field,0.85
inputroutingaccnumber,0.85
two-factor-code,0.90
inputconfirmpasswd,0.95
confirm-passwd-input,0.95
emailaddress,0.75
token input,0.80
primary-account-number,0.90
input_otp,0.90
card[cvv]-field,0.95
totp pin input,0.90
twofactorcode,0.90
last_4_ssn,0.90
serverdata,0.10
referrers_avatar_url,0.15
cert-input,0.75
card_expiration,0.50
cookie,0.25
new-password,0.95
input-two-factor-code,0.90
apisecret,0.95
member-question,0.20
client-secret,0.95
field-password,0.95
expirydate,0.15
input_two_factor_code,0.90
confirmpasswd,0.90
stripe_token,0.90
compensationamount,0.35
field_two_factor_pin,0.90
bearer,0.60
bank-acc-num-field,0.85
input totp,0.90
two_factor_pin_input,0.90
routingaccnumberinput,0.85
bank acc number,0.85
field bank account num,0.85
input routing number,0.85
input2fapin,0.90
last 4,0.45
cardnumber,0.90
input-repeat-password,0.90
field-key,0.55
user,0.10
mysql_pwd_field,0.95
field-social-security-number,0.95
card-number-field,0.90
fieldaccountnumber,0.70
cardlast4,0.85
encryptedpassword,0.95
card[num],0.80
pan_bin,0.60
card[num]_input,0.90
input auth token,0.90
fieldsecret,0.90
passwordinput,0.95
reset password,0.80
bankacc,0.65
password2input,0.95
message,0.00
input account routing number,0.85
two-factor-pin,0.90
input pin,0.85
fieldcardnum,0.90
receiveraddress,0.70
primaryphone,0.70
field_password,0.95
date_ofbirth,0.85
field-bank-account-num,0.85
social security num,0.95
user-ip,0.55
account_routing_number_field,0.85
otp token input,0.90
passwdfield,0.95
field-bank-account,0.75
bankaccount[routingnumber],0.85
input bank account,0.75
field-password-confirm,0.95
field_raw,0.00
input creds,0.90
social_security_num,0.95
2fainput,0.90
taxid,0.80
cc num input,0.95
accountroutingnumber,0.85
accesstokenfield,0.90
field totp pin,0.90
rule format,0.00
house_number,0.10
propertyversion,0.00
accesstoken,0.90
totp_input,0.90
credit-card-num,0.95
totp input,0.90
input_bank_acc_number,0.85
api token field,0.90
bank-acc[routing-number]-field,0.85
input_api_key,0.95
stripe_token_input,0.90
totpcode,0.90
card[cvv] field,0.95
certificatefield,0.70
bank_acc_number_input,0.80
inputbankaccount,0.75
certificate-input,0.75
social security number input,0.95
client_secret,0.95
username,0.60
fieldcertificate,0.75
inputsecuritytoken,0.90
csrftoken,0.30
accnumberinput,0.70
referral-url,0.10
userip,0.55
fieldauthtoken,0.90
card-number-last-4,0.85
credit card num,0.95
bank_account,0.70
factor,0.00
two factor pin field,0.90
input-security-code,0.90
input-credit-card,0.90
mysqlpwdinput,0.95
input cert,0.75
certificate_input,0.75
bank-acc-number,0.80
card-last-4,0.85
field-otp,0.90
inputissuercertificate,0.75
receiver,0.10
field-account-number,0.70
fieldotppin,0.90
birth,0.15
input repeat password,0.90
token-field,0.80
totpinput,0.90
field_otp_pin,0.90
passwdinput,0.95
phonenumber,0.75
two_factor_code,0.90
senderstatecode,0.15
cert_field,0.70
field-ssn,0.95
fieldtotppin,0.90
ssn_field,0.95
insurername,0.15
card num input,0.90
created-date,0.00
input-2fa,0.90
input_credentials,0.90
pan,0.65
input certificate,0.75
field-credentials,0.90
input_bank_account_number,0.85
field routing acc number,0.85
2facodeinput,0.90
primary account number,0.90
privatekeyfield,0.95
socialsecuritynumfield,0.95
field password1,0.95
last-four,0.50
domain,0.05
middle_name,0.70
card-cvv-input,0.95
account number field,0.70
sender-state-code,0.15
input--csrf,0.30
agent,0.05
fieldstripetoken,0.90
cardnumberlast4,0.85
field-secret,0.90
reset-password-token,0.80
cvc,0.85
newpassword,0.95
salt field,0.85
otp_pin_field,0.90
accountbanknumberfield,0.85
api-secret,0.95
phone number,0.75
cvc number,0.90
field otp pin,0.90
field card[num],0.90
security_pin,0.90
input_repeat_password,0.90
reset_password,0.80
inputtwofactorpin,0.90
confirm-passwd,0.90
mysqlpwd,0.95
passwd confirm input,0.95
field_routing_account_number,0.85
field otp token,0.90
inputtwofactorcode,0.90
month,0.00
receiver_identifier,0.30
-csrf,0.30
user_token,0.80
api_secret,0.95
fieldpwd,0.95
oldpasswordinput,0.95
reset_password_token,0.80
fieldkey,0.55
socialsecuritynuminput,0.95
input_routing_acc_number,0.85
check amount,0.20
secret,0.90
inputapitoken,0.90
field security token,0.90
totp_pin,0.90
input card[number],0.90
id token,0.80
expirationdate,0.15
input-creds,0.90
totp pin,0.90
group id,0.05
field key,0.55
field  csrf,0.30
social security num input,0.95
field-2fa-pin,0.90
card_number_last_4,0.85
totp code,0.90
receiver_address,0.70
field_bank_acc,0.70
2fa-token,0.90
bank_acc[routing_number],0.85
gross-pay-amount,0.50
card,0.30
field-pin,0.85
cardnumfield,0.90
amount,0.10
security token field,0.90
fieldbankaccount,0.75
expiration date,0.15
creditcardfield,0.90
samlrequest,0.50
new-password-field,0.95
id_token,0.80
input secret,0.90
field acc number,0.70
twofactorcodeinput,0.90
social_security_number_input,0.95
new,0.00
input_bank_account,0.75
card_cvv_input,0.95
inputpin,0.85
tax-id,0.80
security-code,0.90
pwd_input,0.95
access,0.10
input_card_cvv,0.95
input-totp,0.90
cardnumberlastfour,0.85
bankaccnuminput,0.80
field_pin,0.85
referrertoken,0.45
account-number-field,0.70
otpfield,0.90
card_number_field,0.90
_csrf_field,0.30
2fatoken,0.90
digest,0.15
last4,0.45
bankaccinput,0.70
otp-token-field,0.90
bank_acc[routing_number]_input,0.85
repeat_password_field,0.90
input routing acc,0.85
routing account number,0.85
statedincome,0.50
input_two_factor_token,0.90
routing-acc-number,0.85
routing account number input,0.85
password_field,0.95
key field,0.60
apikeyinput,0.95
authtokeninput,0.90
feature store,0.05
response-array,0.00
bank account num,0.85
inputcreditcardnumber,0.95
bank_acc,0.65
pin field,0.85
input 2fa code,0.90
security-pin-field,0.90
field-bank-account-number,0.90
account routing number field,0.85
2fapin,0.90
card number field,0.90
repeat-password,0.85
otppin,0.90
field_secret,0.90
routing_number,0.85
passwd confirm,0.95
number],0.00
field_routing_acc_num,0.85
input_bank_account[routing_number],0.85
security pin input,0.90
inputbankaccountnumber,0.85
input-stripe-token,0.90
bank-account-num,0.85
routing_acc_number_field,0.85
field_password_confirm,0.95
bank_account_number_input,0.85
codeverifier,0.60
old-password,0.95
sender_name,0.30
senderaddress,0.70
full,0.00
 csrf token,0.30
fieldccnumber,0.95
field confirm password,0.95
house-details,0.10
socialsecuritynum,0.95
prn,0.10
full_name,0.75
otp code,0.90
ssn-field,0.95
member_name,0.30
access_token,0.90
ssn_input,0.95
date of birth,0.85
input-pin,0.85
bankaccountnumber,0.85
key_input,0.60
given name,0.65
credentials-field,0.90
field credit card num,0.95
inputmysqlpwd,0.95
social security number field,0.95
input-secret,0.90
confirmpasswdfield,0.90
securitycodeinput,0.90
passwordconfirminput,0.95
field 2fa token,0.90
field2fatoken,0.90
saltfield,0.85
input credit card,0.90
api_key,0.95
input confirm password,0.90
net,0.05
input account bank number,0.85
housenumber,0.10
insurer name,0.15
field certificate,0.75
field security pin,0.90
_csrf,0.30
agent-email,0.50
api-token,0.85
credentials input,0.90
ccnumberfield,0.95
middle name,0.70
field_credit_card_num,0.95
credentials,0.85
input-bank-account-num,0.85
twofactorpin,0.90
sender_ip_address,0.60
user-ip-address,0.55
confirmpassword,0.90
receiver identifier,0.30
input_card[num],0.90
fieldprivatekey,0.95
passwd-input,0.95
credit card num field,0.95
inputpassword1,0.95
card[num]_field,0.90
input_account_routing_number,0.85
fieldroutingaccnum,0.85
api_token_field,0.90
field_totp_code,0.90
dateofbirth,0.85
input_password_confirm,0.95
token_input,0.80
email-domain,0.15
apikey,0.95
bank acc input,0.70
password1-input,0.95
input_totp,0.90
region,0.05
input-card-cvv,0.95
otp code input,0.90
new password field,0.95
field-private-key,0.95
credit_card_number_input,0.95
account-routing-number-input,0.85
input-cvv,0.95
new_password_input,0.95
check,0.05
social_security_num_field,0.95
input_bank_acc[routing_num],0.85
issuercertificateinput,0.75
card[num]field,0.90
acc-number-input,0.70
input-acc-number,0.70
input-otp,0.90
field--csrf,0.30
otp_code_input,0.90
securitytoken,0.90
field account number,0.70
card[num]-field,0.90
merchant name,0.10
of,0.00
old password,0.95
bank acc num field,0.80
input security token,0.90
security token input,0.90
csrf_field,0.30
pay_friend_id,0.10
social-security-num-input,0.95
auth,0.35
credit card,0.90
bankaccount[routingnumber]field,0.85
credit_card_number,0.95
inputroutingnumber,0.85
routingaccfield,0.85
field-repeat-password,0.90
input-bank-account-number,0.85
credsfield,0.90
private key field,0.95
pin code,0.85
bank acc[routing num] field,0.85
2fa-field,0.90
password confirm,0.95
bank-account-number,0.85
bank acc number input,0.85
agent_email,0.50
password2 input,0.95
field totp token,0.90
fieldbankacc,0.70
property_name,0.05
input_social_security_number,0.95
2fa-pin,0.90
routing-number,0.85
issuer certificate input,0.75
2fa-token-field,0.90
stripe token field,0.90
primary-phone,0.70
client_id,0.15
cert_input,0.75
segmentdeviceid,0.10
auth-token,0.90
field-confirm-password,0.95
property_version,0.00
password confirm field,0.95
otpcode,0.90
set_cookie,0.40
api_token,0.85
bank account number,0.90
fieldtotp,0.90
four,0.00
field_mysql_pwd,0.95
totptokenfield,0.90
private_key_field,0.95
samlresponse,0.50
featurestore,0.05
field private key,0.95
twofactortokeninput,0.90
passwd field,0.95
security-pin-input,0.90
inputsecuritycode,0.90
set cookie,0.40
field_acc_number,0.70
confirm passwd input,0.95
mobile_phone,0.70
fieldbankaccount[routingnumber],0.85
field_social_security_num,0.95
bank_acc_num_field,0.80
input_credit_card_num,0.95
stripe-token-field,0.90
input password2,0.95
input key,0.60
authentication,0.40
field_passwd_confirm,0.95
confirm password,0.90
input_passwd,0.95
input bank acc[routing num],0.85
